번호,호선,역코드,역명,위도,경도,대여시간,반납시간,,,,,,,,,,,
1,1,115,설화명곡역,35.798718,128.489318,06:00~18:00,20:00,,,,,,,,,,,
2,1,116,화원역,35.804357,128.500404,06:00~18:00,20:00,,,,,,,,,,,
3,1,117,대곡역,37.631957,126.8102965,06:00~18:00,20:00,,,,,,,,,,,
4,1,118,진천역,35.813816,128.522578,06:00~18:00,20:00,,,,,,,,,,,
5,1,119,월배역,35.816266,128.530572,06:00~18:00,20:00,,,,,,,,,,,
6,1,121,월촌역,35.823899,128.5458331,06:00~18:00,20:00,,,,,,,,,,,
7,1,123,서부정류장역,35.8380375,128.5671845,06:00~18:00,20:00,,,,,,,,,,,
8,1,127,현충로역,35.840899,128.581375,06:00~18:00,20:00,,,,,,,,,,,
9,1,128,영대병원역,35.844269,128.588251,06:00~18:00,20:00,,,,,,,,,,,
10,1,130,명덕역,35.858145,128.591241,06:00~18:00,20:00,,,,,,,,,,,
11,1,133,칠성시장역,35.876078,128.6052165,06:00~18:00,20:00,,,,,,,,,,,
12,1,134,신천역,35.874620609,128.6175852,06:00~18:00,20:00,,,,,,,,,,,
13,1,135,동대구역,35.879667,128.628476,06:00~18:00,20:00,,,,,,,,,,,
14,1,136,동구청역,35.885718,128.634715,06:00~18:00,20:00,,,,,,,,,,,
15,1,137,아양교역,35.887195,128.639859,06:00~18:00,20:00,,,,,,,,,,,
16,1,138,동촌역,35.8867797,128.6487769,06:00~18:00,20:00,,,,,,,,,,,
17,1,139,해안역,35.883514,128.659854,06:00~18:00,20:00,,,,,,,,,,,
18,1,142,율하역,35.869577,128.693037,06:00~18:00,20:00,,,,,,,,,,,
19,1,143,신기역,35.866729,128.701689,06:00~18:00,20:00,,,,,,,,,,,
20,1,144,반야월역,35.865969,128.713561,06:00~18:00,20:00,,,,,,,,,,,
21,1,145,각산역,35.868043,128.724457,06:00~18:00,20:00,,,,,,,,,,,
22,2,216,문양역,35.8641,128.437867,06:00~18:00,20:00,,,,,,,,,,,
23,2,218,대실역,35.857339,128.465605,06:00~18:00,20:00,,,,,,,,,,,
24,2,219,강창역,35.853091,128.4780687,06:00~18:00,20:00,,,,,,,,,,,
25,2,220,계명대역,35.851474,128.491956,06:00~18:00,20:00,,,,,,,,,,,
26,2,221,성서산업단지역,35.851824,128.50635,06:00~18:00,20:00,,,,,,,,,,,
27,2,222,이곡역,35.850577,128.516449,06:00~18:00,20:00,,,,,,,,,,,
28,2,223,용산역,37.5298837,126.9648019,06:00~18:00,20:00,,,,,,,,,,,
29,2,225,감삼역,35.854327,128.548085,06:00~18:00,20:00,,,,,,,,,,,
30,2,226,두류역,35.8570894,128.5558608,06:00~18:00,20:00,,,,,,,,,,,
31,2,230,반월당역,35.864592,128.593334,06:00~18:00,20:00,,,,,,,,,,,
32,2,231,경대병원역,35.863085,128.603381,06:00~18:00,20:00,,,,,,,,,,,ㅣ
33,2,232,대구은행역,35.859769,128.614151,06:00~18:00,20:00,,,,,,,,,,,
34,2,233,범어역,35.859028,128.626851,06:00~18:00,20:00,,,,,,,,,,,
35,2,235,만촌역,35.85891,128.644982,06:00~18:00,20:00,,,,,,,,,,,
36,2,237,연호역,35.840376,128.670507,06:00~18:00,20:00,,,,,,,,,,,
37,2,238,대공원역,37.435733,127.006489,06:00~18:00,20:00,,,,,,,,,,,
38,2,239,고산역,35.842108,128.698738,06:00~18:00,20:00,,,,,,,,,,,
39,2,240,신매역,35.840875,128.704889,06:00~18:00,20:00,,,,,,,,,,,
40,2,241,사월역,35.836976,128.715623,06:00~18:00,20:00,,,,,,,,,,,
41,2,242,정평역,35.83408,128.728663,06:00~18:00,20:00,,,,,,,,,,,
42,2,243,임당역,35.83412,128.741061,06:00~18:00,20:00,,,,,,,,,,,
43,2,244,영남대역,35.836348,128.752962,06:00~18:00,20:00,,,,,,,,,,,
